project,name,version,type,purl,cpe,language,pkg_type,path
University_of_Waikato-Weka,jaxb-runtime,2.3.5,library,pkg:maven/org.glassfish.jaxb/jaxb-runtime@2.3.5,cpe:2.3:a:org.glassfish.jaxb.runtime:jaxb-runtime:2.3.5:*:*:*:*:*:*:*,java,java-archive,/weka/lib/jaxb-runtime-2.3.5.jar
FACEBOOK-React,@babel/helper-hoist-variables,7.22.5,library,pkg:npm/%40babel/helper-hoist-variables@7.22.5,cpe:2.3:a:\@babel\/helper-hoist-variables:\@babel\/helper-hoist-variables:7.22.5:*:*:*:*:*:*:*,javascript,npm,/fixtures/ssr2/package-lock.json
Angular-AngularJS,@jsonjoy.com/fs-snapshot,4.57.1,library,pkg:npm/%40jsonjoy.com/fs-snapshot@4.57.1,cpe:2.3:a:\@jsonjoy.com\/fs-snapshot:\@jsonjoy.com\/fs-snapshot:4.57.1:*:*:*:*:*:*:*,javascript,npm,/integration/platform-server-hydration/pnpm-lock.yaml
Neos-Neos,jscodeshift,0.13.1,library,pkg:npm/jscodeshift@0.13.1,cpe:2.3:a:jscodeshift:jscodeshift:0.13.1:*:*:*:*:*:*:*,javascript,npm,/Neos.Neos/yarn.lock
Neos-Neos,@babel/helper-split-export-declaration,7.22.6,library,pkg:npm/%40babel/helper-split-export-declaration@7.22.6,cpe:2.3:a:\@babel\/helper-split-export-declaration:\@babel\/helper-split-export-declaration:7.22.6:*:*:*:*:*:*:*,javascript,npm,/Neos.Neos/yarn.lock
Potix_Corporation-ZK,imurmurhash,0.1.4,library,pkg:npm/imurmurhash@0.1.4,cpe:2.3:a:imurmurhash:imurmurhash:0.1.4:*:*:*:*:*:*:*,javascript,npm,/package-lock.json
FACEBOOK-React,bplist-parser,0.2.0,library,pkg:npm/bplist-parser@0.2.0,cpe:2.3:a:bplist-parser:bplist-parser:0.2.0:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
CKSource_sp__z_o_o__sp_k_-CKEditor,proxy-agent,6.5.0,library,pkg:npm/proxy-agent@6.5.0,cpe:2.3:a:proxy-agent:proxy-agent:6.5.0:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
Thelia-Thelia,babel-plugin-polyfill-corejs2,0.3.3,library,pkg:npm/babel-plugin-polyfill-corejs2@0.3.3,cpe:2.3:a:babel-plugin-polyfill-corejs2:babel-plugin-polyfill-corejs2:0.3.3:*:*:*:*:*:*:*,javascript,npm,/templates/frontOffice/modern/yarn.lock
Angular-AngularJS,@rolldown/binding-android-arm64,1.0.0-rc.10,library,pkg:npm/%40rolldown/binding-android-arm64@1.0.0-rc.10,cpe:2.3:a:\@rolldown\/binding-android-arm64:\@rolldown\/binding-android-arm64:1.0.0-rc.10:*:*:*:*:*:*:*,javascript,npm,/integration/platform-server-hydration/pnpm-lock.yaml
Selenium_HQ-Selenium_IDE,vary,1.1.2,library,pkg:npm/vary@1.1.2,cpe:2.3:a:vary:vary:1.1.2:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
Alkacon_Software_GmbH-OpenCms,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Alkacon_Software_GmbH-OpenCms/lib/jni/Win32NetBIOS.dll,,file,,,,,
Grafana_Labs-Grafana,github.com/grpc-ecosystem/go-grpc-middleware/v2,v2.3.3,library,pkg:golang/github.com/grpc-ecosystem/go-grpc-middleware/v2@v2.3.3,cpe:2.3:a:grpc-ecosystem:go-grpc-middleware\/v2:v2.3.3:*:*:*:*:*:*:*,go,go-module,/apps/dashboard/go.mod
Neos-Neos,d,1.0.0,library,pkg:npm/d@1.0.0,cpe:2.3:a:d:d:1.0.0:*:*:*:*:*:*:*,javascript,npm,/Neos.Media.Browser/yarn.lock
Grafana_Labs-Grafana,file-selector,2.1.0,library,pkg:npm/file-selector@2.1.0,cpe:2.3:a:file-selector:file-selector:2.1.0:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
Symfony-Symfony,superbrothers/close-pull-request,v3,library,pkg:github/superbrothers/close-pull-request@v3,cpe:2.3:a:superbrothers\/close-pull-request:superbrothers\/close-pull-request:v3:*:*:*:*:*:*:*,,github-action,/src/Symfony/Component/Dotenv/.github/workflows/close-pull-request.yml
Red_Hat-JBoss_Enterprise_Application_Server__EAS_,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Red_Hat-JBoss_Enterprise_Application_Server__EAS_/boms/user/server/ee/preview/with-tools/pom.xml,,file,,,,,
Countly-Countly,@img/sharp-wasm32,0.34.5,library,pkg:npm/%40img/sharp-wasm32@0.34.5,cpe:2.3:a:\@img\/sharp-wasm32:\@img\/sharp-wasm32:0.34.5:*:*:*:*:*:*:*,javascript,npm,/package-lock.json
sensuapp-Sensu,gopkg.in/ini.v1,v1.51.0,library,pkg:golang/gopkg.in/ini.v1@v1.51.0,,go,go-module,/go.mod
Liferay-Liferay,is-string,1.1.0,library,pkg:npm/is-string@1.1.0,cpe:2.3:a:is-string:is-string:1.1.0:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-aicontentwizard-workspace/yarn.lock
Angular-AngularJS,type-is,2.0.1,library,pkg:npm/type-is@2.0.1,cpe:2.3:a:type-is:type-is:2.0.1:*:*:*:*:*:*:*,javascript,npm,/integration/defer/pnpm-lock.yaml
Neos-Neos,util-deprecate,1.0.2,library,pkg:npm/util-deprecate@1.0.2,cpe:2.3:a:util-deprecate:util-deprecate:1.0.2:*:*:*:*:*:*:*,javascript,npm,/Neos.Neos/yarn.lock
WooCommerce-WooCommerce,ajv,6.12.6,library,pkg:npm/ajv@6.12.6,cpe:2.3:a:ajv:ajv:6.12.6:*:*:*:*:*:*:*,javascript,npm,/docs/_docu-tools/pnpm-lock.yaml
Liferay-Liferay,prelude-ls,1.2.1,library,pkg:npm/prelude-ls@1.2.1,cpe:2.3:a:prelude-ls:prelude-ls:1.2.1:*:*:*:*:*:*:*,javascript,npm,/workspaces/clarity-solution-workspace/yarn.lock
FACEBOOK-React,postcss,6.0.23,library,pkg:npm/postcss@6.0.23,cpe:2.3:a:postcss:postcss:6.0.23:*:*:*:*:node.js:*:*,javascript,npm,/yarn.lock
LocomotiveCMS-LocomotiveCMS,rimraf,3.0.2,library,pkg:npm/rimraf@3.0.2,cpe:2.3:a:isaacs:rimraf:3.0.2:*:*:*:*:node.js:*:*,javascript,npm,/yarn.lock
GHOST-Ghost,lodash._root,3.0.1,library,pkg:npm/lodash._root@3.0.1,cpe:2.3:a:lodash.-root:lodash.-root:3.0.1:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
Countly-Countly,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Countly-Countly/plugins/desktop/package-lock.json,,file,,,,,
Liferay-Liferay,babel-plugin-polyfill-regenerator,0.5.2,library,pkg:npm/babel-plugin-polyfill-regenerator@0.5.2,cpe:2.3:a:babel-plugin-polyfill-regenerator:babel-plugin-polyfill-regenerator:0.5.2:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-sample-workspace/client-extensions/liferay-sample-custom-element-3/yarn.lock
PrestaShop-Commerce_Software,doctrine/annotations,1.14.4,library,pkg:composer/doctrine/annotations@1.14.4,cpe:2.3:a:doctrine\/annotations:doctrine\/annotations:1.14.4:*:*:*:*:*:*:*,php,php-composer,/composer.lock
Meteor_Development_Group_Inc_-Meteor,has-proto,1.0.3,library,pkg:npm/has-proto@1.0.3,cpe:2.3:a:has-proto:has-proto:1.0.3:*:*:*:*:*:*:*,javascript,npm,/tools/tests/apps/modules/package-lock.json
Cucumber-Cucumberjs,brace-expansion,5.0.2,library,pkg:npm/brace-expansion@5.0.2,cpe:2.3:a:brace-expansion:brace-expansion:5.0.2:*:*:*:*:*:*:*,javascript,npm,/package-lock.json
FACEBOOK-React,defer-to-connect,1.1.3,library,pkg:npm/defer-to-connect@1.1.3,cpe:2.3:a:defer-to-connect:defer-to-connect:1.1.3:*:*:*:*:*:*:*,javascript,npm,/fixtures/ssr2/yarn.lock
Selenium-Selenium,diff-lcs,1.6.2,library,pkg:gem/diff-lcs@1.6.2,cpe:2.3:a:ruby-lang:diff-lcs:1.6.2:*:*:*:*:*:*:*,ruby,gem,/rb/Gemfile.lock
XWiki-XWiki,/Users/dmk6603/Documents/cloned_repos_oss_swdb/XWiki-XWiki/xwiki-platform-core/xwiki-platform-velocity/xwiki-platform-velocity-xwiki/pom.xml,,file,,,,,
Liferay-Liferay,function.prototype.name,1.1.6,library,pkg:npm/function.prototype.name@1.1.6,cpe:2.3:a:function.prototype.name:function.prototype.name:1.1.6:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-paypal-workspace/yarn.lock
Sentry-Ravenjs,@hapi/bounce,3.0.1,library,pkg:npm/%40hapi/bounce@3.0.1,cpe:2.3:a:\@hapi\/bounce:\@hapi\/bounce:3.0.1:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
Google-TensorFlow,nvidia-curand-cu12,10.3.6.82,library,pkg:pypi/nvidia-curand-cu12@10.3.6.82,cpe:2.3:a:python-nvidia-curand-cu12:python-nvidia-curand-cu12:10.3.6.82:*:*:*:*:*:*:*,python,python,/requirements_lock_3_10.txt
The_Apache_Software_Foundation-Apache_NiFi,minifi-provenance-repository-nar,2.9.0-SNAPSHOT,library,pkg:maven/org.apache.nifi.minifi/minifi-provenance-repository-nar@2.9.0-SNAPSHOT,cpe:2.3:a:apache:minifi-provenance-repository-nar:2.9.0-SNAPSHOT:*:*:*:*:*:*:*,java,java-archive,/minifi/minifi-nar-bundles/minifi-provenance-repository-bundle/minifi-provenance-repository-nar/pom.xml
Liferay-Liferay,progress,2.0.3,library,pkg:npm/progress@2.0.3,cpe:2.3:a:progress:progress:2.0.3:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-hcaptcha-workspace/yarn.lock
Liferay-Liferay,get-intrinsic,1.0.1,library,pkg:npm/get-intrinsic@1.0.1,cpe:2.3:a:get-intrinsic:get-intrinsic:1.0.1:*:*:*:*:*:*:*,javascript,npm,/modules/dxp/apps/osb/osb-faro/yarn.lock
Magento-Magento_Commerce,magento/module-user,101.1.1,library,pkg:composer/magento/module-user@101.1.1,cpe:2.3:a:magento\/module-user:magento\/module-user:101.1.1:*:*:*:*:*:*:*,php,php-composer,/dev/tests/integration/testsuite/Magento/Framework/Composer/_files/testFromCreateProject/composer.lock
The_Apache_Software_Foundation-Apache_Mahout,lilconfig,3.1.3,library,pkg:npm/lilconfig@3.1.3,cpe:2.3:a:lilconfig:lilconfig:3.1.3:*:*:*:*:*:*:*,javascript,npm,/website/package-lock.json
Node_js-Node_js,databake,0.2.0,library,pkg:cargo/databake@0.2.0,cpe:2.3:a:databake:databake:0.2.0:*:*:*:*:*:*:*,rust,rust-crate,/deps/crates/vendor/icu_collections/Cargo.lock
FACEBOOK-Presto,randombytes,2.1.0,library,pkg:npm/randombytes@2.1.0,cpe:2.3:a:randombytes:randombytes:2.1.0:*:*:*:*:*:*:*,javascript,npm,/presto-ui/src/yarn.lock
Grafana_Labs-Grafana,github.com/cheekybits/genny,v1.0.0,library,pkg:golang/github.com/cheekybits/genny@v1.0.0,cpe:2.3:a:cheekybits:genny:v1.0.0:*:*:*:*:*:*:*,go,go-module,/go.mod
Kubernetes-k8s,github.com/prometheus/common,v0.67.5,library,pkg:golang/github.com/prometheus/common@v0.67.5,cpe:2.3:a:prometheus:common:v0.67.5:*:*:*:*:*:*:*,go,go-module,/staging/src/k8s.io/kube-aggregator/go.mod
Google-Angular_Material,@esbuild/linux-ia32,0.26.0,library,pkg:npm/%40esbuild/linux-ia32@0.26.0,cpe:2.3:a:\@esbuild\/linux-ia32:\@esbuild\/linux-ia32:0.26.0:*:*:*:*:*:*:*,javascript,npm,/integration/vitest/pnpm-lock.yaml
Grafana_Labs-Grafana,zod-to-json-schema,3.25.1,library,pkg:npm/zod-to-json-schema@3.25.1,cpe:2.3:a:zod-to-json-schema:zod-to-json-schema:3.25.1:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
The_Apache_Software_Foundation-Apache_Kafka,actions/checkout,v5,library,pkg:github/actions/checkout@v5,cpe:2.3:a:actions\/checkout:actions\/checkout:v5:*:*:*:*:*:*:*,,github-action,/.github/workflows/docker_build_and_test.yml
Jahia-Jahia,eslint-visitor-keys,1.3.0,library,pkg:npm/eslint-visitor-keys@1.3.0,cpe:2.3:a:eslint-visitor-keys:eslint-visitor-keys:1.3.0:*:*:*:*:*:*:*,javascript,npm,/war/yarn.lock
Jetpack-JetPack,actions/checkout,v6,library,pkg:github/actions/checkout@v6,cpe:2.3:a:actions\/checkout:actions\/checkout:v6:*:*:*:*:*:*:*,,github-action,/.github/workflows/update-jetpack-staging-sites.yml
Angular-AngularJS,is-wsl,3.1.1,library,pkg:npm/is-wsl@3.1.1,cpe:2.3:a:is-wsl:is-wsl:3.1.1:*:*:*:*:*:*:*,javascript,npm,/integration/platform-server-zoneless/pnpm-lock.yaml
XWiki-XWiki,compare-versions,6.1.1,library,pkg:npm/compare-versions@6.1.1,cpe:2.3:a:compare-versions:compare-versions:6.1.1:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
The_Apache_Software_Foundation-Apache_Ambari,ms,0.7.1,library,pkg:npm/ms@0.7.1,cpe:2.3:a:vercel:ms:0.7.1:*:*:*:*:node.js:*:*,javascript,npm,/ambari-web/yarn.lock
CKSource_sp__z_o_o__sp_k_-CKEditor,encodeurl,1.0.2,library,pkg:npm/encodeurl@1.0.2,cpe:2.3:a:encodeurl:encodeurl:1.0.2:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
NET_FOUNDATION-Orchard_CMS,@orchardcore/menu,0.0.0-use.local,library,pkg:npm/%40orchardcore/menu@0.0.0-use.local,cpe:2.3:a:\@orchardcore\/menu:\@orchardcore\/menu:0.0.0-use.local:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
FACEBOOK-HHVM,colorette,2.0.20,library,pkg:npm/colorette@2.0.20,cpe:2.3:a:colorette:colorette:2.0.20:*:*:*:*:*:*:*,javascript,npm,/hphp/hack/website/yarn.lock
Open_Web_Analytics-Open_Web_Analytics,json-schema-traverse,0.4.1,library,pkg:npm/json-schema-traverse@0.4.1,cpe:2.3:a:json-schema-traverse:json-schema-traverse:0.4.1:*:*:*:*:*:*:*,javascript,npm,/package-lock.json
Red_Hat-JBoss_Enterprise_Application_Server__EAS_,jboss-invocation,UNKNOWN,library,pkg:maven/org.jboss.invocation/jboss-invocation,cpe:2.3:a:org.jboss.invocation:jboss-invocation:*:*:*:*:*:*:*:*,java,java-archive,/concurrency/spi/pom.xml
Sentry-Ravenjs,p-finally,1.0.0,library,pkg:npm/p-finally@1.0.0,cpe:2.3:a:p-finally:p-finally:1.0.0:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
Red_Hat-JBoss_Enterprise_Application_Server__EAS_,wildfly-transactions,UNKNOWN,library,pkg:maven/wildfly-transactions/wildfly-transactions,cpe:2.3:a:wildfly-transactions:wildfly-transactions:*:*:*:*:*:*:*:*,java,java-archive,/batch-jberet/pom.xml
The_Apache_Software_Foundation-Apache_Hadoop,mute-stream,0.0.8,library,pkg:npm/mute-stream@0.0.8,cpe:2.3:a:mute-stream:mute-stream:0.0.8:*:*:*:*:*:*:*,javascript,npm,/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-ui/src/main/webapp/yarn.lock
Liferay-Liferay,duplexer,0.1.2,library,pkg:npm/duplexer@0.1.2,cpe:2.3:a:duplexer:duplexer:0.1.2:*:*:*:*:*:*:*,javascript,npm,/modules/yarn.lock
XWiki-XWiki,@tiptap/extension-bold,3.15.3,library,pkg:npm/%40tiptap/extension-bold@3.15.3,cpe:2.3:a:\@tiptap\/extension-bold:\@tiptap\/extension-bold:3.15.3:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
The_Apache_Software_Foundation-Prometheus,github.com/basgys/goxml2json,v1.1.1-0.20231018121955-e66ee54ceaad,library,pkg:golang/github.com/basgys/goxml2json@v1.1.1-0.20231018121955-e66ee54ceaad,cpe:2.3:a:basgys:goxml2json:v1.1.1-0.20231018121955-e66ee54ceaad:*:*:*:*:*:*:*,go,go-module,/go.mod
Angular-AngularJS,@napi-rs/nice-android-arm64,1.1.1,library,pkg:npm/%40napi-rs/nice-android-arm64@1.1.1,cpe:2.3:a:\@napi-rs\/nice-android-arm64:\@napi-rs\/nice-android-arm64:1.1.1:*:*:*:*:*:*:*,javascript,npm,/integration/platform-server-zoneless/pnpm-lock.yaml
FACEBOOK-React,@types/estree,0.0.45,library,pkg:npm/%40types/estree@0.0.45,cpe:2.3:a:\@types\/estree:\@types\/estree:0.0.45:*:*:*:*:*:*:*,javascript,npm,/fixtures/flight/yarn.lock
FACEBOOK-React,babel-plugin-transform-system-register,0.0.1,library,pkg:npm/babel-plugin-transform-system-register@0.0.1,cpe:2.3:a:babel-plugin-transform-system-register:babel-plugin-transform-system-register:0.0.1:*:*:*:*:*:*:*,javascript,npm,/fixtures/packaging/systemjs-builder/dev/yarn.lock
XWiki-XWiki,ccount,2.0.1,library,pkg:npm/ccount@2.0.1,cpe:2.3:a:ccount:ccount:2.0.1:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
The_Apache_Software_Foundation-Apache_Mahout,idna_adapter,1.2.1,library,pkg:cargo/idna_adapter@1.2.1,cpe:2.3:a:idna-adapter:idna-adapter:1.2.1:*:*:*:*:*:*:*,rust,rust-crate,/qdp/Cargo.lock
Liferay-Liferay,tar-stream,1.6.2,library,pkg:npm/tar-stream@1.6.2,cpe:2.3:a:tar-stream:tar-stream:1.6.2:*:*:*:*:*:*:*,javascript,npm,/modules/yarn.lock
Liferay-Liferay,is-symbol,1.1.0,library,pkg:npm/is-symbol@1.1.0,cpe:2.3:a:is-symbol:is-symbol:1.1.0:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-recaptcha-workspace/yarn.lock
FACEBOOK-Presto,stats,0.227,library,pkg:maven/com.facebook.airlift/stats@0.227,cpe:2.3:a:com.facebook.airlift:stats:0.227:*:*:*:*:*:*:*,java,java-archive,/presto-benchmark/pom.xml
COMPILER-PHP,/Users/dmk6603/Documents/cloned_repos_oss_swdb/COMPILER-PHP/.github/workflows/remove-needs-feedback.yml,,file,,,,,
The_Apache_Software_Foundation-Prometheus,github.com/rs/cors,v1.11.1,library,pkg:golang/github.com/rs/cors@v1.11.1,cpe:2.3:a:rs:cors:v1.11.1:*:*:*:*:*:*:*,go,go-module,/internal/tools/go.mod
Jetpack-JetPack,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Jetpack-JetPack/projects/plugins/wpcloud-sso/composer.lock,,file,,,,,
The_Apache_Software_Foundation-Apache_Ambari,walker,1.0.7,library,pkg:npm/walker@1.0.7,cpe:2.3:a:walker:walker:1.0.7:*:*:*:*:*:*:*,javascript,npm,/contrib/views/wfmanager/src/main/resources/ui/yarn.lock
Liferay-Liferay,detect-libc,1.0.3,library,pkg:npm/detect-libc@1.0.3,cpe:2.3:a:detect-libc:detect-libc:1.0.3:*:*:*:*:*:*:*,javascript,npm,/modules/dxp/apps/osb/osb-faro/yarn.lock
Open_Source-Drupal,typed-array-length,1.0.7,library,pkg:npm/typed-array-length@1.0.7,cpe:2.3:a:typed-array-length:typed-array-length:1.0.7:*:*:*:*:*:*:*,javascript,npm,/core/yarn.lock
Jetpack-JetPack,automattic/jetpack-boost-speed-score,dev-trunk,library,pkg:composer/automattic/jetpack-boost-speed-score@dev-trunk,cpe:2.3:a:automattic\/jetpack-boost-speed-score:automattic\/jetpack-boost-speed-score:dev-trunk:*:*:*:*:*:*:*,php,php-composer,/projects/plugins/jetpack/composer.lock
FACEBOOK-React,asn1,0.2.3,library,pkg:npm/asn1@0.2.3,cpe:2.3:a:asn1:asn1:0.2.3:*:*:*:*:*:*:*,javascript,npm,/fixtures/packaging/webpack-alias/prod/yarn.lock
Liferay-Liferay,faye-websocket,0.10.0,library,pkg:npm/faye-websocket@0.10.0,cpe:2.3:a:faye-websocket:faye-websocket:0.10.0:*:*:*:*:*:*:*,javascript,npm,/modules/yarn.lock
Jetpack-JetPack,micromark-util-types,2.0.2,library,pkg:npm/micromark-util-types@2.0.2,cpe:2.3:a:micromark-util-types:micromark-util-types:2.0.2:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
Google-Angular_Material,karma-source-map-support,1.4.0,library,pkg:npm/karma-source-map-support@1.4.0,cpe:2.3:a:karma-source-map-support:karma-source-map-support:1.4.0:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
FACEBOOK-React,constants-browserify,1.0.0,library,pkg:npm/constants-browserify@1.0.0,cpe:2.3:a:constants-browserify:constants-browserify:1.0.0:*:*:*:*:*:*:*,javascript,npm,/fixtures/fiber-debugger/yarn.lock
Grafana_Labs-Grafana,go.uber.org/atomic,v1.11.0,library,pkg:golang/go.uber.org/atomic@v1.11.0,,go,go-module,/apps/dashvalidator/go.mod
FACEBOOK-React,form-data,2.1.4,library,pkg:npm/form-data@2.1.4,cpe:2.3:a:form-data:form-data:2.1.4:*:*:*:*:*:*:*,javascript,npm,/fixtures/packaging/webpack-alias/prod/yarn.lock
Grafana_Labs-Grafana,4d63.com/gochecknoglobals,v0.2.2,library,pkg:golang/4d63.com/gochecknoglobals@v0.2.2,,go,go-module,/.citools/src/golangci-lint/go.mod
Concrete5-Concrete5,escape-string-regexp,1.0.5,library,pkg:npm/escape-string-regexp@1.0.5,cpe:2.3:a:escape-string-regexp:escape-string-regexp:1.0.5:*:*:*:*:*:*:*,javascript,npm,/build/package-lock.json
XWiki-XWiki,run-parallel,1.2.0,library,pkg:npm/run-parallel@1.2.0,cpe:2.3:a:run-parallel:run-parallel:1.2.0:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
Open_Source-Drupal,@npmcli/fs,4.0.0,library,pkg:npm/%40npmcli/fs@4.0.0,cpe:2.3:a:\@npmcli\/fs:\@npmcli\/fs:4.0.0:*:*:*:*:*:*:*,javascript,npm,/core/yarn.lock
Grafana_Labs-Grafana,@swc/core-linux-arm-gnueabihf,1.15.17,library,pkg:npm/%40swc/core-linux-arm-gnueabihf@1.15.17,cpe:2.3:a:\@swc\/core-linux-arm-gnueabihf:\@swc\/core-linux-arm-gnueabihf:1.15.17:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
XWiki-XWiki,xwiki-platform-extension-security-ui,18.3.0-SNAPSHOT,library,pkg:maven/org.xwiki.platform/xwiki-platform-extension-security-ui@18.3.0-SNAPSHOT,cpe:2.3:a:xwiki-platform-extension-security-ui:xwiki-platform-extension-security-ui:18.3.0-SNAPSHOT:*:*:*:*:*:*:*,java,java-archive,/xwiki-platform-core/xwiki-platform-extension/xwiki-platform-extension-security/xwiki-platform-extension-security-ui/pom.xml
Shopware_Inc-Shopware,chalk,5.4.1,library,pkg:npm/chalk@5.4.1,cpe:2.3:a:chalk:chalk:5.4.1:*:*:*:*:*:*:*,javascript,npm,/src/Administration/Resources/app/administration/package-lock.json
GHOST-Ghost,postcss-place,7.0.5,library,pkg:npm/postcss-place@7.0.5,cpe:2.3:a:postcss-place:postcss-place:7.0.5:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
Vaadin-Vaadin,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Vaadin-Vaadin/test/servlet-containers/karaf/karaf-run/apache-karaf-4.2.1-minimal/system/org/apache/karaf/features/org.apache.karaf.features.core/4.2.1/org.apache.karaf.features.core-4.2.1.jar,,file,,,,,
Google-Angular_Material,angular/dev-infra/github-actions/bazel/configure-remote,b9bca459f29f61177a829e69089730415c95ccde,library,pkg:github/angular/dev-infra@b9bca459f29f61177a829e69089730415c95ccde#github-actions/bazel/configure-remote,cpe:2.3:a:angular\/dev-infra\/github-actions\/bazel\/configure-remote:angular\/dev-infra\/github-actions\/bazel\/configure-remote:b9bca459f29f61177a829e69089730415c95ccde:*:*:*:*:*:*:*,,github-action,/.github/workflows/pr.material-aio.yml
dotCMS-dotCMS,dot.slf4j-api,UNKNOWN,library,pkg:maven/com.dotcms.lib/dot.slf4j-api,cpe:2.3:a:com.dotcms.lib:dot.slf4j-api:*:*:*:*:*:*:*:*,java,java-archive,/dotCMS/pom.xml
dotCMS-dotCMS,actions/cache/restore,v4,library,pkg:github/actions/cache@v4#restore,cpe:2.3:a:actions\/cache\/restore:actions\/cache\/restore:v4:*:*:*:*:*:*:*,,github-action,/.github/workflows/legacy-release_maven-release-process.yml
Liferay-Liferay,picocolors,1.1.1,library,pkg:npm/picocolors@1.1.1,cpe:2.3:a:picocolors:picocolors:1.1.1:*:*:*:*:*:*:*,javascript,npm,/modules/apps/frontend-js/frontend-js-clay-web/clay/www/yarn.lock
Liferay-Liferay,array-sort,1.0.0,library,pkg:npm/array-sort@1.0.0,cpe:2.3:a:array-sort:array-sort:1.0.0:*:*:*:*:*:*:*,javascript,npm,/modules/yarn.lock
Thelia-Thelia,locate-path,6.0.0,library,pkg:npm/locate-path@6.0.0,cpe:2.3:a:locate-path:locate-path:6.0.0:*:*:*:*:*:*:*,javascript,npm,/templates/frontOffice/modern/yarn.lock
Grafana_Labs-Grafana,publint,0.3.12,library,pkg:npm/publint@0.3.12,cpe:2.3:a:publint:publint:0.3.12:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
ECLIPSE-Jetty,jetty-ee10-test-client-transports,12.1.8-SNAPSHOT,library,pkg:maven/org.eclipse.jetty.ee10/jetty-ee10-test-client-transports@12.1.8-SNAPSHOT,cpe:2.3:a:jetty-ee10-test-client-transports:jetty-ee10-test-client-transports:12.1.8-SNAPSHOT:*:*:*:*:*:*:*,java,java-archive,/jetty-ee10/jetty-ee10-tests/jetty-ee10-test-client-transports/pom.xml
Rust-Rust,windows-targets,0.53.3,library,pkg:cargo/windows-targets@0.53.3,cpe:2.3:a:windows-targets:windows-targets:0.53.3:*:*:*:*:*:*:*,rust,rust-crate,/src/tools/rustfmt/Cargo.lock
Google-Angular_Material,@parcel/watcher-linux-x64-glibc,2.5.1,library,pkg:npm/%40parcel/watcher-linux-x64-glibc@2.5.1,cpe:2.3:a:\@parcel\/watcher-linux-x64-glibc:\@parcel\/watcher-linux-x64-glibc:2.5.1:*:*:*:*:*:*:*,javascript,npm,/integration/ng-add/pnpm-lock.yaml
dotCMS-dotCMS,colorette,2.0.20,library,pkg:npm/colorette@2.0.20,cpe:2.3:a:colorette:colorette:2.0.20:*:*:*:*:*:*:*,javascript,npm,/core-web/yarn.lock
ec-cube_net-EC-CUBE,actions/checkout,de0fac2e4500dabe0009e67214ff5f5447ce83dd,library,pkg:github/actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd,cpe:2.3:a:actions\/checkout:actions\/checkout:de0fac2e4500dabe0009e67214ff5f5447ce83dd:*:*:*:*:*:*:*,,github-action,/.github/workflows/zaproxy.yml
Node_js-Node_js,mdast-comment-marker,3.0.0,library,pkg:npm/mdast-comment-marker@3.0.0,cpe:2.3:a:mdast-comment-marker:mdast-comment-marker:3.0.0:*:*:*:*:*:*:*,javascript,npm,/tools/lint-md/package-lock.json
Neos-Neos,cross-spawn,7.0.3,library,pkg:npm/cross-spawn@7.0.3,cpe:2.3:a:cross-spawn:cross-spawn:7.0.3:*:*:*:*:*:*:*,javascript,npm,/Neos.Neos/yarn.lock
Node_js-Node_js,@radix-ui/react-select,2.2.6,library,pkg:npm/%40radix-ui/react-select@2.2.6,cpe:2.3:a:\@radix-ui\/react-select:\@radix-ui\/react-select:2.2.6:*:*:*:*:*:*:*,javascript,npm,/tools/doc/package-lock.json
